Anglais,Francais
Ustrasana,La posture du chameau
Ardha Matsyendrasana,La demi-torsion vertebrale
Bitilasana,La posture de la vache
Garudasana,La posture de l'aigle
Bakasana,La posture de la grue
Utkatasana,La posture de la chaise
Baddha Konasana,La posture du papillon
Vasisthasana,La posture de la planche laterale
Balasana,La posture de l'enfant
Padmasana,La posture du lotus
Urdhva Dhanurasana,La posture du pont
Adho Mukha Svanasana,La posture du chien tete en bas
Salamba Sarvangasana,La posture de la chandelle
Malasana,La posture de la guirlande
Halasana,La posture de la charrue
Uttanasana,La posture de la pince debout
Anjaneyasana,La posture du croissant de lune bas
Urdhva Mukha Svsnssana,La posture du chien tete en haut
Utthita Parsvakonasana,La posture de l'angle lateral etendu
Virabhadrasana Three,La posture du guerrier III
Vrksasana,La posture de l'arbre
Phalakasana,La posture de la planche
Setu Bandha Sarvangasana,La posture du demi-pont
Adho Mukha Vrksasana,La posture du poirier
Utthita Hasta Padangusthasana,La posture du grand ecart debout
Virabhadrasana One,La posture du guerrier I
Paschimottanasana,La posture de la pince assise
Camatkarasana,La posture du chat sauvage
Salamba Bhujangasana,La posture du cobra
Virabhadrasana Two,La posture du guerrier II
Ardha Chandrasana,La posture du croissant de lune
Marjaryasana,La posture du chat
Ardha Pincha Mayurasana,La posture du dauphin
Dhanurasana,La posture de l'arc
Eka Pada Rajakapotasana,La posture du pigeon royal
Pincha Mayurasana,La posture du paon
Parsvottanasana,La posture de la pince laterale
Hanumanasana,La posture du grand ecart
Trikonasana,La posture du triangle
Sivasana,La posture du cadavre
Navasana,La posture du bateau
Alanasana,La posture du crescent moon high lunge
Upavistha Konasana,La posture de l'angle assis
Parsva Virabhadrasana,La posture du guerrier lateral
Supta Kapotasana,La posture du pigeon couche
Ardha Navasana,La posture du demi-bateau
Ashta Chandrasana,La posture du croissant de lune haut
